id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41868835,Double room | private entrance | en-suite bathroom,289775682,Luca,,Porto - Saragozza,44.498661041259766,11.335271835327148,Private room,77,2,218,2025-09-17,3.19,2,202,35,IT037006C1GJAQLRY5
42000551,Appartamento Alma,505518116,Angela,,Navile,44.51271,11.35212,Entire home/apt,63,2,107,2025-09-16,2.21,1,197,22,IT037006C2IZ3QX6TI
42007737,nuovo appartamento al borghetto,10565373,Michela,,Borgo Panigale - Reno,44.51399,11.28373,Entire home/apt,220,1,6,2025-05-24,0.37,20,51,4,IT037006B4UMODOEBR
42011875,Camera con bagno presso ‘Casa di Chiara’,126380574,Chiara,,Porto - Saragozza,44.50053,11.33751,Private room,61,2,498,2025-09-11,7.28,1,221,87,IT037006C1DOAPGET4
42014316,Ampia camera,2879369,Andrea,,Porto - Saragozza,44.4913,11.31174,Private room,33,31,2,2024-12-22,0.05,4,151,1,IT037006C1AZJOO6IC
42015824,Lexus27 Bologna - Intero appartamento con garage,332909858,Gianluca,,Navile,44.51124,11.32922,Entire home/apt,101,3,140,2025-08-30,2.12,1,139,26,IT037006C2JN3QFXFL
42031130,Realkasa Senzanome Flat,228384114,Realkasa,,Porto - Saragozza,44.49126,11.33681,Entire home/apt,171,3,56,2025-04-20,1.09,95,64,2,IT037006C2JOBBFJBW
42033516,Brand new 2 bed/2 bath just off city centre,133064942,Canguro Properties,,Porto - Saragozza,44.4901958,11.3169684,Entire home/apt,,31,0,,,25,0,0,
42061263,Angy Vi. Apartments - Flat in Bo,50429991,Flat In Italy,,Porto - Saragozza,44.49799,11.33778,Entire home/apt,,31,0,,,8,0,0,
42117803,Casa di Greta Monolocale S.orsola,37871554,Beniamino,,San Donato - San Vitale,44.48989,11.36526,Entire home/apt,,3,1,2024-09-15,0.08,8,130,0,IT037006C2RK5RB8WT
42118705,Casa di Greta - Bilocale S.Orsola,37871554,Beniamino,,San Donato - San Vitale,44.49133,11.36485,Entire home/apt,303,4,5,2025-05-10,0.17,8,66,3,IT037006C2FSR86TA9
42155570,Qui sentirai il battito pulsante di Bologna,334518018,Lara,,Santo Stefano,44.49458,11.35257,Entire home/apt,97,120,318,2025-09-20,5.01,1,53,44,IT037006C2BNQAHOQQ
42184994,Realkasa Montagnola Apartment,228384114,Realkasa,,Santo Stefano,44.50139,11.34802,Entire home/apt,295,3,58,2025-06-12,0.86,95,103,9,IT037006C2XRFQ28FF
42214549,"Monolocale ""I Portici"", Bologna",335317034,Roberto,,Santo Stefano,44.49341,11.35426,Entire home/apt,92,1,641,2025-09-06,9.42,1,183,144,IT037006C2BEYGE3JY
42240861,Coltelli 21 -Elegant Apartment in Central Location,134806801,Elisa,,Santo Stefano,44.48754,11.35078,Entire home/apt,120,2,133,2025-09-21,2.54,2,184,41,IT037006C2PWUJB39B
42302515,Realkasa City Center Flat,228384114,Realkasa,,Porto - Saragozza,44.49982833862305,11.341900825500488,Entire home/apt,265,3,72,2025-06-10,1.15,95,95,6,IT037006C23U295VVU
42302965,Realkasa Old Town Flat,228384114,Realkasa,,Porto - Saragozza,44.49982833862305,11.341900825500488,Entire home/apt,192,3,69,2025-08-21,1.10,95,100,3,IT037006C2MHQ8SGO9
42311113,Piccola Perla 2.0,218910964,Giuseppe,,Borgo Panigale - Reno,44.50392,11.29243,Entire home/apt,3237,31,0,,,2,179,0,
42327640,55 sqm Art Nouveau Apartment in the City Center,184487,Sergio,,Santo Stefano,44.48697,11.3487,Entire home/apt,81,31,25,2025-06-09,0.62,1,197,4,
42380441,S.G. La Dotta Apartments | Cavour - Via San Gervasio 1,21592706,Lucia Francesca,,Porto - Saragozza,44.49576,11.33799,Entire home/apt,,2,41,2025-04-17,0.82,10,0,8,IT037006B4MGJVW9NK
42395074,Premium apartment Via Orfeo 12,53054867,Mauro,,Santo Stefano,44.487012200515814,11.349011734127998,Entire home/apt,279,1,10,2024-09-17,0.40,1,157,0,IT037006C25VYBCHKT
42397209,Pratello Guesthouse,293121348,Alessandro,,Porto - Saragozza,44.49561,11.33388,Entire home/apt,90,1,581,2025-09-07,8.81,1,9,121,IT037006C2BAIOFQAV
42422957,Bolognina Apartments - Flat in Italy,50429991,Flat In Italy,,Navile,44.50694,11.34094,Entire home/apt,,31,0,,,8,0,0,
42426024,APPARTAMENTO Fiera-Centro,130861387,Rocco,,San Donato - San Vitale,44.50398,11.3638,Entire home/apt,295,1,8,2025-05-18,0.17,1,364,2,IT037006C2AFUR82BO
42434414,"Masca20 Boutique Home, modern living experience",27435617,Paola,,Santo Stefano,44.49927,11.34975,Entire home/apt,,1,6,2022-07-30,0.12,5,0,0,IT037006C2JWQQWNJB
42441508,Realkasa lame Flat,228384114,Realkasa,,Porto - Saragozza,44.49904,11.3354,Entire home/apt,159,3,109,2025-08-06,1.80,95,97,10,IT037006C2FPOH6MLU
42441515,Fierasette UNO fiera apartment e parking privato,337863034,Francesco,,San Donato - San Vitale,44.50793,11.37439,Entire home/apt,152,2,80,2025-07-19,1.19,2,154,21,IT037006C2JX8YZGYE
42454007,Green House - 2 doubles with ensuite bathrooms,1894885,Sara & Gabriele,,Santo Stefano,44.49685,11.34595,Entire home/apt,223,2,179,2025-09-19,4.67,1,168,46,IT037006C2UOYYSL5F
42506994,"Casa Rialto, in Centro Storico",338510774,Patrizio,,Santo Stefano,44.48875,11.34946,Entire home/apt,,2,112,2025-09-13,2.19,1,0,26,IT037006C2JTS5SG69
42522688,Elegant house In the ancient heart of Bologna,185136180,Marina,,Santo Stefano,44.49758,11.34472,Entire home/apt,159,31,14,2025-04-30,0.34,1,291,2,"I applied for a CIN, but haven’t received it yet"
42523067,Eco Chic Apartment - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49735,11.33859,Entire home/apt,204,1,37,2025-09-06,0.58,36,170,26,IT037006B4M2QAOBSM
42523640,Industrial Spacious Loft - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.49895,11.34048,Entire home/apt,178,1,51,2025-08-08,0.80,36,197,3,IT037006B4M2QAOBSM
42524240,Industrial Loft Apartment - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.49755,11.33914,Entire home/apt,249,1,145,2025-07-27,2.26,36,208,9,IT037006B4M2QAOBSM
42524383,Industrial 2 Bedroom Loft - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.4975,11.33868,Entire home/apt,342,1,150,2025-08-24,2.36,36,217,10,IT037006B4M2QAOBSM
42524537,Eco Chic Loft - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49906,11.34023,Entire home/apt,249,1,107,2025-08-14,1.66,36,188,17,IT037006B4M2QAOBSM
