id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1338448081906732826,Relais Piazza Vittoria-Camera Classic,669230404,Carmine,,San Ferdinando,40.8322378,14.2428221,Private room,155,1,0,,,6,323,0,IT063049B4ZR69QS7N
1338577680724613098,Doria Suites Napoli Camera Matrimoniale in centro,346244644,Ida,,Porto,40.84116279641602,14.252810208839474,Private room,110,1,0,,,3,185,0,IT063049B4VKAMEHPE
1338979388415273045,skycity 2 b&b comfort room,663109705,Loredana,,San Carlo all'Arena,40.88001247303679,14.270904599475086,Private room,52,1,13,2025-06-01,2.64,3,344,13,IT063049C25GL9C2X7
1338995176607451433,skycity 2 b&b balcone e vista!,663109705,Loredana,,San Carlo all'Arena,40.88001247303679,14.270775853442371,Private room,58,1,2,2025-04-27,1.05,3,354,2,IT063049C25GL9C2X7
1339000545430873601,skycity 2 b&b for four!,663109705,Loredana,,San Carlo all'Arena,40.88006114428682,14.270840226458729,Private room,65,1,3,2025-05-13,1.76,3,343,3,IT063049C25GL9C2X7
1339014230896902958,Appartamento in pieno Centro,506736707,Vincenzo,,San Giuseppe,40.84634643112803,14.252873801477518,Entire home/apt,102,2,0,,,8,94,0,IT063049C2ZTK76AHL
1339022391852825686,Appartamento per 4 persone,506736707,Vincenzo,,Porto,40.84701260424968,14.254592625875997,Entire home/apt,105,2,0,,,8,114,0,IT063049C2ZTK76AHL
1339059287859450443,Botanic Apartments - Rooms,653790056,Raffaele,,San Carlo all'Arena,40.859407281708656,14.260297668614692,Entire home/apt,,2,0,,,4,182,0,IT063049C226SRXYKR
1339146755474807690,Appartamento con jacuzzi nel centro di Napoli,674369018,Elvira,,San Lorenzo,40.8526698,14.2622009,Entire home/apt,268,2,10,2025-06-15,2.52,3,277,10,IT063049C2ACMXMS2H
1339236193558580304,Camera La Regina del Mare,588760485,Justin Timothy,,Posillipo,40.8215146,14.2143732,Private room,10000,1,0,,,3,365,0,IT063049C165ZYVA45
1339237341450822066,Camera La Stella del Mare,588760485,Justin Timothy,,Posillipo,40.8215146,14.2143732,Private room,9143,1,0,,,3,365,0,IT063049C165ZYVA45
1339238423962300402,Camera vista cortile Greco di Tufo,588760485,Justin Timothy,,Posillipo,40.8215146,14.2143732,Private room,8000,1,0,,,3,365,0,IT063049C165ZYVA45
1339339585643829671,La casa di Napoli,672447019,Luisa,,San Lorenzo,40.853989201373594,14.266066253185272,Entire home/apt,79,1,38,2025-06-13,7.97,1,285,38,IT063049C2BCG52F2N
1339397059858677389,Appartamento con vista scavi nel centro di Napoli,674369018,Elvira,,Pendino,40.85141900000001,14.2603298,Entire home/apt,82,2,3,2025-03-21,0.61,3,61,3,IT063049C2KXVP33LY
